Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Eswatini,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,59.9173837209302,60.2379069767442,60.6193023255814,61.0433139534884,61.4806395348837,61.9091279069767,62.3274418604651,62.7493023255814,63.1883139534884,63.664011627907,64.1886046511628,64.766511627907,65.3926162790698
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,76.346311,78.489206,80.674348,82.916235,85.233913,87.639964,90.139927,92.726971,95.385785,98.094253,100.835458,103.603501,106.400024
Faroe Islands,FRO,Population density (people per sq. km of land area),EN.POP.DNST,34.1848122589717,34.234955523255,34.2585944907029,34.2550128289683,34.2464168408055,34.2507148348869,34.2571618260091,34.2714884729471,34.3065887579455,34.355299357535,34.4204856011033,34.5078781474256,34.6210586582365
Fiji,FJI,Population density (people per sq. km of land area),EN.POP.DNST,44.9701149425287,45.3130815544609,45.7684729064039,46.2704433497537,46.7234263820471,47.0617405582923,47.2604816639299,47.3491516146689,47.3786535303777,47.4249042145594,47.5438970990695,47.7503557744937,48.0273125342091
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,17.2234676122,17.3169839860577,17.3919563287185,17.4840375123396,17.5678545574202,17.6484106614018,17.7309947678436,17.8155615518773,17.8978314521702,17.9720030274112,18.0301108880919,18.0820078312658,18.1244908031983
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,115.384063944828,116.191340641695,116.912441834144,117.567641210864,118.174073061316,118.759339991649,119.335121151416,119.914109283287,120.53300011079,121.112689539524,121.619058746667,122.105587096777,122.115405252835
French Polynesia,PYF,Population density (people per sq. km of land area),EN.POP.DNST,70.7049180327869,71.3142076502732,71.781693989071,72.1478142076503,72.4737704918033,72.801912568306,73.1415300546448,73.4967213114754,73.8601092896175,74.2363387978142,74.624043715847,75.0204918032787,75.4379781420765
Gabon,GAB,Population density (people per sq. km of land area),EN.POP.DNST,5.39662746924361,5.55032405790352,5.71496487755656,5.89335196181162,6.08890441262079,6.30317848410758,6.53795552450809,6.79039857181666,7.0519307641557,7.31090154073039,7.55883882485349,7.79242053789731,8.01343967089688
"Gambia, The",GMB,Population density (people per sq. km of land area),EN.POP.DNST,152.543577075099,157.257411067194,162.040316205534,166.925395256917,171.964328063241,177.193280632411,182.623221343874,188.242193675889,194.042588932806,200.004150197628,206.112648221344,212.365513833992,218.764229249012
Georgia,GEO,Population density (people per sq. km of land area),EN.POP.DNST,68.2751145946324,67.8880821582281,67.5348682599111,67.3300150460128,66.7346478183281,66.2496063543161,65.7203016200707,65.238006928164,65.0419538822212,65.0725007872914,65.1750586094685,65.2140557752196,65.2227859617201
